Station Name,Street Address,City,State,ZIP,Station Phone,Latitude,Longitude,ID,EV Pricing Detail,EV Price
Legend Nissan,268 Jericho Turnpike,Syosset,NY,11791,516-496-8181,40.809865,-73.507761,44203,Free,Free
Serafini Nissan-Volvo,3101 Vestal Pkwy E,Vestal,NY,13850,607-729-3511,42.095812,-76.003703,44204,Free,Free
Serafini Nissan-Volvo,3101 Vestal Pkwy E,Vestal,NY,13850,607-729-3511,42.095812,-76.003703,44205,,
Poughkeepsie Nissan,1445 Route 9,Wappingers Falls,NY,12590,845-297-4314,41.587383,-73.908392,44206,Free,Free
Poughkeepsie Nissan,1445 Route 9,Wappingers Falls,NY,12590,845-297-4314,41.587383,-73.908392,44207,,
Vision Nissan,785 Ridge Rd,Webster,NY,14580,585-787-2000,43.204065,-77.478237,44208,Free,Free
Vision Nissan,785 Ridge Rd,Webster,NY,14580,585-787-2000,43.204065,-77.478237,44209,,
Nissan of Westbury,939 Old Country Rd,Westbury,NY,11590,516-338-5600,40.753954,-73.561974,44212,Free,Free
Nissan of Westbury,939 Old Country Rd,Westbury,NY,11590,516-338-5600,40.753954,-73.561974,44213,,
West Herr Nissan - Williamsville,8137 Main St,Williamsville,NY,14221,877-813-5387,42.96275,-78.691132,44216,Free,Free
Nissan of Yorktown Heights,3495 Old Crompond Rd,Yorktown Heights,NY,10598,914-737-3500,41.289317,-73.835547,44218,Free,Free
Nissan of Yorktown Heights,3495 Old Crompond Rd,Yorktown Heights,NY,10598,914-737-3500,41.289317,-73.835547,44219,,
Destination Nissan,770 Central Ave,Albany,NY,12206,518-438-8461,42.676971,-73.787334,44317,Free,Free
Destination Nissan,770 Central Ave,Albany,NY,12206,518-438-8461,42.676971,-73.787334,44318,,
Mike Barney Nissan,3676 Sheridan Dr,Amherst,NY,14226,716-833-9888,42.979725,-78.797346,44319,Free,Free
Lebrun Nissan,396 Grant Ave,Auburn,NY,13021,315-253-7700,42.966894,-76.535879,44321,Free,Free
Star Nissan,20602 Northern Blvd,Bayside,NY,11361,718-423-0500,40.758245,-73.776954,44323,Free,Free
Star Nissan,20602 Northern Blvd,Bayside,NY,11361,718-423-0500,40.758245,-73.776954,44324,,
Rockland Nissan,608 Route 303,Blauvelt,NY,10913,845-358-6700,41.071072,-73.950866,44325,Free,Free
Rockland Nissan,608 Route 303,Blauvelt,NY,10913,845-358-6700,41.071072,-73.950866,44326,,
Bay Ridge Nissan,6501 5th Ave,Brooklyn,NY,11220,718-238-8000,40.636324,-74.019228,44327,Free,Free
Bay Ridge Nissan,6501 5th Ave,Brooklyn,NY,11220,718-238-8000,40.636324,-74.019228,44328,,
Kings Nissan,2758 Coney Island Ave,Brooklyn,NY,11235,718-376-0538,40.589167,-73.960707,44329,Free,Free
Kings Nissan,2758 Coney Island Ave,Brooklyn,NY,11235,718-376-0538,40.589167,-73.960707,44330,,
Burdick Nissan,5885 E Circle Dr,Cicero,NY,13039,315-458-8915,43.147147,-76.114274,44331,Free,Free
Burdick Nissan,5885 E Circle Dr,Cicero,NY,13039,315-458-8915,43.147147,-76.114274,44332,,
Hoselton Nissan,66 Marsh Rd,East Rochester,NY,14445,585-385-3560,43.100001,-77.481422,44333,Free,Free
Hoselton Nissan,66 Marsh Rd,East Rochester,NY,14445,585-385-3560,43.100001,-77.481422,44334,,
Rockaway Nissan,600 Burnside Ave,Inwood,NY,11096,516-239-0100,40.622268,-73.742699,44336,Free,Free
Rockaway Nissan,600 Burnside Ave,Inwood,NY,11096,516-239-0100,40.622268,-73.742699,44337,,
Maguire Nissan,504 S Meadow St,Ithaca,NY,14850,607-272-8000,42.435042,-76.5088,44338,Free,Free
Maguire Nissan,504 S Meadow St,Ithaca,NY,14850,607-272-8000,42.435042,-76.5088,44339,,
Nemet Motors,153-12 Hillside Ave,Jamaica,NY,11432,718-523-5858,40.707242,-73.803844,44342,Free,Free
Nemet Motors,153-12 Hillside Ave,Jamaica,NY,11432,718-523-5858,40.707242,-73.803844,44343,,
Treiber Nissan,320 N Comrie Ave,Johnstown,NY,12095,518-736-1300,43.025044,-74.358103,44344,Free,Free
Treiber Nissan,320 N Comrie Ave,Johnstown,NY,12095,518-736-1300,43.025044,-74.358103,44345,,
Nissan - Garden City,316 N Franklin St,Hempstead,NY,11550,,40.71693,-73.630152,44346,Free,Free
Nissan - Garden City,316 N Franklin St,Hempstead,NY,11550,,40.71693,-73.630152,44347,,
Simmons Rockwell Nissan,224 Colonial Dr,Horseheads,NY,14845,,42.16246,-76.867435,44348,Free,Free
Simmons Rockwell Nissan,224 Colonial Dr,Horseheads,NY,14845,,42.16246,-76.867435,44349,,
Nissan - Huntington,850 E Jericho Turnpike,Huntington Station,NY,11746,,40.834455,-73.379693,44350,Free,Free
Nissan - Huntington,850 E Jericho Turnpike,Huntington Station,NY,11746,,40.834455,-73.379693,44351,,
Kingston Nissan,140 Route 28,Kingston,NY,12401,845-338-3100,41.948965,-74.032033,44352,Free,Free
West Herr Nissan,6069 S Transit Rd,Lockport,NY,14094,716-625-8889,43.128557,-78.696197,44354,Free,Free
West Herr Nissan,6069 S Transit Rd,Lockport,NY,14094,716-625-8889,43.128557,-78.696197,44355,,
Nissan Kia - Middletown,4961 Route 17M,New Hampton,NY,10958,845-374-6555,41.40859,-74.413372,44358,Free,Free
Nissan Kia - Middletown,4961 Route 17M,New Hampton,NY,10958,845-374-6555,41.40859,-74.413372,44359,,
Nissan of New Rochelle,2533 Palmer Ave,New Rochelle,NY,10801,914-576-7600,40.919104,-73.776645,44360,Free,Free
Nissan of New Rochelle,2533 Palmer Ave,New Rochelle,NY,10801,914-576-7600,40.919104,-73.776645,44361,,
Baron Nissan,235 Glen Cove Rd,Greenvale,NY,11548,516-621-2300,40.816267,-73.625869,47721,Free,Free
Baron Nissan,235 Glen Cove Rd,Greenvale,NY,11548,516-621-2300,40.816267,-73.625869,47722,,
Vision Nissan Greece,4000 W Ridge Rd,Rochester,NY,14626,585-227-3800,43.216099,-77.73619,49676,Free,Free
Central Avenue Nissan,1919 Central Park Ave,Yonkers,NY,10710,,40.964447,-73.840117,49678,Free,Free
Central Avenue Nissan,1919 Central Park Ave,Yonkers,NY,10710,,40.964447,-73.840117,49679,,
Shults Nissan,311 Fluvanna Ave,Jamestown,NY,14701,716-484-2780,42.115661,-79.253776,49932,Free,Free
Shults Nissan,311 Fluvanna Ave,Jamestown,NY,14701,716-484-2780,42.115661,-79.253776,49933,,
Nissan of Queens,9325 Rockaway Blvd,Ozone Park,NY,11417,718-835-8300,40.68117,-73.845621,49938,Free,Free
Nissan of Queens,9325 Rockaway Blvd,Ozone Park,NY,11417,718-835-8300,40.68117,-73.845621,49939,,
Town of Penfield - Library,1985 Baird Rd,Penfield,NY,14526,585-340-8720,43.137476,-77.465214,49941,Free,Free
ShopRite Plaza,2333 Nott St E,Niskayuna,NY,12309,518-243-4565,42.816614,-73.889657,50854,Free,Free
TRICITYRENTALS WOODLAKE 2,61 Woodlake Rd N,Albany,NY,12203,888-758-4389,42.677277,-73.84716,51095,,
Fairport Village Landing,100 Fairport Village Landing,Fairport,NY,14450,585-223-9500,43.100514,-77.443475,51537,Free,Free
Lucas Ford,3245 Hortons Ln,Southold,NY,11971,,41.069942,-72.43726,52063,,
Ruge's Chevrolet,3692 Route 44,Millbrook,NY,12545,845-444-3039,41.791563,-73.659717,53442,Free,Free
Autosaver Ford,11125 State Route 22,Comstock,NY,12821,,43.456212,-73.383459,53894,,
Henderson Ford,810 E Ridge Rd,Webster,NY,14580,585-787-1700,43.205714,-77.476722,53975,Free,Free
Steet-Ponte Ford Lincoln Mazda,5074 Commercial Dr,Yorkville,NY,13495,315-736-3381,43.110055,-75.293478,53976,Free,Free
ADELPHI UNIV STATION 01,1 South Ave,Garden City,NY,11530,888-758-4389,40.719618,-73.649987,60739,,
ROCHESTER NY WASH SQ GARAGE2,111 Woodbury Blvd,Rochester,NY,14607,888-758-4389,43.152697,-77.603915,61063,,
ROCHESTER NY COURT ST 2,194 Court St,Rochester,NY,14604,888-758-4389,43.15395,-77.607471,61065,,
ROCHESTER NY PORT OF ROCH 1,1000 N River St,Rochester,NY,14612,888-758-4389,43.256302,-77.606672,61213,,
Broccolo Tree and Lawncare Garden Center,2755 Penfield Rd,Fairport,NY,14450,585-424-4476,43.129935,-77.386788,61760,Free,Free
ROCHESTER NY PUBLC MARKET,39 Trinidad St,Rochester,NY,14605,888-758-4389,43.16603,-77.591324,62307,,
Village of Spencerport - Town Hall,27 West Ave,Spencerport,NY,14559,585-352-4771,43.191311,-77.801933,63140,Free,Free
Niagara Falls International Airport,2035 Niagara Falls Blvd,Niagara Falls,NY,14304,716-855-7300,43.101378,-78.941072,63478,Free,Free
Buffalo Niagara International Airport,4200 Genesee St,Buffalo,NY,14225,716-630-6191,42.933441,-78.731633,63479,Free,Free
Leo Kaytes Ford,145 Route 94 S,Warwick,NY,10990,,41.237296,-74.379503,63618,,
Towne Ford Lincoln,3535 Southwestern Blvd,Orchard Park,NY,14075,716-662-6500,42.786617,-78.761212,63643,Free,Free
Finger Lakes Waterfall Resort Motel & Cabins,3835 State Route 414,Burdett,NY,14818,607-546-7171,42.418993,-76.867035,63982,,
Rochester Institute of Technology - Lot T,1 Lomb Memorial Dr,Rochester,NY,14623,585-475-2074,43.08779,-77.674413,63988,Free,Free
Albany International Airport,737 Albany Shaker Rd,Albany,NY,12205,518-242-2299  866-816-7584,42.739746,-73.808186,64131,Free,Free
Dana Ford Lincoln,266 W Service Rd,Staten Island,NY,10314,718-983-8700,40.587162,-74.194747,64140,Free,Free
Ramp Ford,4869 Nesconset Hwy,Port Jefferson Station,NY,11776,631-473-1550,40.91966,-73.051332,64141,Free,Free
Cliff's Elbow Too,1085 Franklinville Rd,Laurel,NY,11948,631-298-3262,40.968038,-72.562787,64705,Free,Free
Cliff's Elbow Room,1549 Main Rd,Jamesport,NY,11947,631-722-3292,40.948819,-72.582795,64706,Free,Free
Town of Cortlandt,1 Heady St,Cortlandt,NY,10567,914-734-1002  866-816-7584,41.310139,-73.905002,65270,,
Tarrytown Metro - North Train Station,4173 Green St,Tarrytown,NY,10591,914-631-7873  866-816-7584,41.076261187618826,-73.86568628783567,65271,,
Chappaqua Metro - North Train Station,108 Allen Pl,Chappaqua,NY,10514,914-238-4772  866-816-7584,41.159228,-73.773508,65273,,
Hamilton Parking Garage,365 Hamilton Ave,White Plains,NY,10601,914-422-1310,41.034121,-73.766241,65274,$1.50 per hour,Cost
Longview Parking Garage,11 Longview Ave,White Plains,NY,10601,914-422-1391  866-816-7584,41.026867,-73.767674,65275,$1.50 per hour,Cost
Lyons Place Municipal Parking Garage,4 Lyons Pl,White Plains,NY,10601,914-422-1392,41.02894,-73.763727,65276,$1.50 per hour,Cost
Skaneateles Village Hall,26 Fennell St,Skaneateles,NY,13152,315-685-3440  866-816-7584,42.948234,-76.431694,65277,,
Lexington-Grove East Garage,100 Main St,White Plains,NY,10601,914-422-1392,41.031464,-73.769946,65278,$1.50 per hour,Cost
Market 32,19 Centre Dr,Plattsburgh,NY,12901,518-562-3560,44.695363,-73.492162,65281,Free,Free
Beacon Metro North Train Station,1 Ferry Plaza,Beacon,NY,12508,866-816-7584,41.505079,-73.983205,65284,,
Stony Brook University,118 Administration,Stony Brook,NY,11790,631-632-2886,40.914818,-73.119813,65285,$2 per hour,Cost
Port Authority Bus Terminal,625 8th Ave,New York,NY,10018,866-816-7584,40.756177,-73.990558,65287,,
Bay Ridge Municipal Parking Garage,8501 5th Ave,Brooklyn,NY,11209,718-439-5699  866-816-7584,40.62215,-74.02565,65288,Free,Free
Court Square Municipal Parking Garage,45 Court Square,Queens,NY,11101,866-816-7584,40.745358,-73.942642,65290,Free,Free
East 149th Street Municipal Parking Garage,315 E 149th St,Bronx,NY,10451,718-292-4523  866-816-7584,40.817326,-73.920914,65291,Free,Free
Saint George Courthouse,54 Central Ave,Staten Island,NY,10301,718-524-1190  866-816-7584,40.63947,-74.076912,65296,,
Jamestown Community College,525 Falconer St,Jamestown,NY,14702,716-338-1000,42.114535,-79.217718,65299,Free,Free
Rouses Point,139 Lake St,Rouses Point,NY,12979,866-816-7584,44.991537,-73.36399,65302,,
Long Island Railroad - Freeport,Freeport Plaza E,Freeport,NY,11520,866-816-7584  516-377-2300,40.656692,-73.580924,65303,Free,Free
ScottTech,336 Court St,Binghamton,NY,13904,315-214-6065,42.103472,-75.892293,67753,Free,Free
Price Chopper,1060 Madison Ave,Albany,NY,12208,518-438-6241,42.664671,-73.790463,68579,Free,Free
Fuccillo Nissan,3893 Route 31,Liverpool,NY,13090,315-944-3200,43.185219,-76.242663,70451,Free,Free
Fuccillo Nissan - Latham,976 New Loudon Rd,Latham,NY,12110,518-250-4380,42.76943,-73.754611,70452,Free,Free
Fuccillo Nissan,3893 Route 31,Liverpool,NY,13090,315-944-3200,43.185219,-76.242663,70460,,
SUNY ONEONTA SUNY ONEONTA,24-26 Ravine Pkwy N,Oneonta,NY,13820,888-758-4389,42.469481,-75.065723,71024,,
Rechler Equity,85 S Service Rd,Plainview,NY,11803,631-414-8400,40.7865204,-73.4521865,72670,Free,Free
Hampton Inn - Schenectady,450 State St,Schenectady,NY,12305,518-377-4500,42.8121531,-73.9409169,72907,Free,Free
Hampton Inn - Albany,10 Ulenski Dr,Albany,NY,12205,518-438-2822,42.724676,-73.7954479,72909,$0.25 per kWh,Cost
Hampton Inn - British American Blvd,45 British American Blvd,Latham,NY,12110,866-816-7584,42.768177,-73.82062,72918,,
Hampton Inn - Clifton Park,620 Plank Rd,Clifton Park,NY,12065,866-816-7584,42.865495,-73.778228,72921,$1.50 per hour,Cost
Price Chopper Plaza,1395 New Scotland Rd,Slingerlands,NY,12159,518-478-0688,42.638663,-73.857186,72970,Free,Free
Davidson Nissan,18423 Route 11,Watertown,NY,13601,315-782-7700,43.932998,-75.936638,74631,Free,Free
Vision Nissan,2409 Rochester Rd,Canandaigua,NY,14424,585-393-0042,42.916433,-77.300722,74632,Free,Free
United Parcel Service,643 W 43rd St,New York,NY,10036,,40.762442,-74.000055,74648,,
Rochester Institute of Technology - Lot M,1 Lomb Memorial Dr,Rochester,NY,14623,585-475-2074,43.08779,-77.674413,75944,Free,Free
Calverton National Cemetery,210 Princeton Blvd,Calverton,NY,11933,,40.924144,-72.816045,77665,,
SUNation Solar Systems,171 Remington Blvd,Ronkonkoma,NY,11779,631-750-9454,40.79009,-73.130392,78416,Free,Free
Meier's Creek Brewing Co,33 Rippleton Rd,Cazenovia,NY,13035,315-815-4022,42.919517,-75.86605,79175,Free,Free
Bob Johnson Chevrolet,1271 W Ridge Rd,Rochester,NY,14615,855-825-9684,43.203546,-77.661537,80871,Free,Free
Peconic Lane Community Center,1170 Peconic Ln,Peconic,NY,11958,631-765-8251,41.0437,-72.4568,80873,$2 per session,Cost
Jim Barnard Chevrolet,7101 Buffalo Rd,Churchville,NY,14428,585-293-2120,43.099649,-77.897024,81608,Free,Free
Fairport Electric,43 Lift Bridge Ln E,Fairport,NY,14450,585-223-9500,43.10187,-77.43936,82260,Free,Free
Davidson Ford,3690 State Route 31,Clay,NY,13090,315-870-7000,43.181259,-76.256973,82355,Free,Free
Romeo Chevrolet,1665 Ulster Ave,Lake Katrine,NY,12449,845-943-4374,41.980335,-73.990256,85682,Free,Free
Catamount Ski,78 Catamount Rd,Hillsdale,NY,12529,518-325-3200,42.171859,-73.477728,85949,Free,Free
Koeppel Nissan,74-15 Northern Blvd,Jackson Heights,NY,11372,877-505-6334,40.755072,-73.892094,85969,Free,Free
Maguire Nissan,716 W Genesee,Syracuse,NY,13204,315-802-4432,43.053474,-76.163547,85970,Free,Free
Honest Weight Co-op,100 Watervliet Ave,Albany,NY,12206,518-482-2667,42.678984,-73.782529,86199,Free,Free
Marbletown Community Center,3562 Main St,Stone Ridge,NY,12484,845-687-0800,41.852574,-74.139946,86200,Free,Free
City of Binghamton - Recreation Park,88 Beethoven St,Binghamton,NY,13901,607-772-7017,42.099763,-75.935148,86715,Free,Free
Prettejohn Public Parking Lot,17 Commercial St,Livonia,NY,14487,585-346-2010,42.821089,-77.668047,87725,Free,Free
Long Island Welcome Center,I-495 E,Dix Hills,NY,11746,631-254-0414,40.802658,-73.316725,87914,Free,Free
Lakeland Park,11 Foreman St,Cazenovia,NY,13035,315-655-3041,42.929429,-75.859296,88340,Free,Free
North Creek Heads in Beds,191 Main St,North Creek,NY,12853,518-412-2821,43.69475,-73.985344,88498,Free,Free
Davidson Chevrolet Cadillac Buick GMC of Rome,5871 Rome-Taberg Rd,Rome,NY,13440,,43.232936,-75.496866,89914,Free,Free
Price Chopper,3863 Route 31,Liverpool,NY,13090,315-622-6008,43.18835,-76.2455,91865,Free,Free
Village of Sodus,14-16 Mill St,Sodus,NY,14551,315-483-9821,43.235555,-77.061621,92116,Free,Free
Fairport North - Main Parking,80 N Main St,Fairport,NY,14450,585-223-9500,43.104278,-77.440851,94576,Free,Free
Calspan Corp Flight Research Center,2041 Niagara Falls Blvd,Niagara Falls,NY,14034,866-816-7584,43.09971,-78.939097,94826,,
Town of Dickinson,531 Old Front St,Binghamton,NY,13905,866-816-7584,42.11978,-75.912473,94828,,
Metro North Train Station - Southeast,4 Independent Way,Brewster,NY,10590,866-816-7584,41.416405,-73.624373,94829,,
Parking Garage,2478 Jerome Ave,Bronx,NY,10468,866-816-7584,40.863131,-73.900529,94830,,
Parking Garage,59 Paidge Ave,Brooklyn,NY,11222,866-816-7584,40.737171,-73.949257,94831,,
Brooklyn Navy Yard,63 Flushing Ave,Brooklyn,NY,11205,866-816-7584,40.698235,-73.975114,94832,,
Village of Champlain,1104 Route 9,Champlain,NY,12919,866-816-7584,44.983225,-73.444864,94835,,
The Lovett Group,109-15 14th Ave,College Point,NY,11356,866-816-7584,40.785772,-73.857401,94836,,
Cortlandt Train Station,2 Memorial Dr,Cortlandt Manor,NY,10566,866-816-7584,41.244889,-73.92333,94837,,
Fair Haven Public Works,14523 Cayuga St,Fair Haven,NY,13156,866-816-7584,43.319653,-76.698558,94838,,
New York Power Authority - Blenheim-Gilboa Project,397 Power Plant Access Rd,Gilboa,NY,12076,866-816-7584,42.44229,-74.447636,94840,,
Marriott Hauppauge,850 Veterans Memorial Hwy,Hauppauge,NY,11788,866-816-7584,40.819636,-73.204528,94841,,
Office Building,40 Newbridge Rd,Hicksville,NY,11801,866-816-7584,40.76828,-73.528019,94842,,
Homer Recreation Department,53 S Main St,Homer,NY,13077,866-816-7584,42.63465,-76.178589,94843,,
Spectrum,133-19 Atlantic Ave,Jamaica,NY,11418,866-816-7584,40.696909,-73.816114,94844,,
Central Parking Corp,15 W 5th St,Jamestown,NY,14701,866-816-7584,42.097522,-79.242525,94845,,
Delancey & Essex Municipal Parking Garage,107 Essex St,Manhattan,NY,10002,866-816-7584,40.719051,-73.988181,94848,,
Marcellus Village Police Department,6 Slocombe Ave,Marcellus,NY,13108,866-816-7584,42.98282,-76.34141,94849,,
Hilton,598 Broadhollow Rd,Melville,NY,11747,866-816-7584,40.76379,-73.423658,94850,,
New York State Department of Transportation - Exit 14 Park & Ride,367 NY-59,Nanuet,NY,10954,866-816-7584,41.10363490203234,-74.02818166137693,94851,Free,Free
Sky Zone Trampoline Park,33 LeCount Pl,New Rochelle,NY,10801,866-816-7584,40.911315,-73.779296,94853,,
Spectrum,401 W 219th St,New York,NY,10034,866-816-7584,40.87121,-73.911616,94854,,
Residence Inn - Marriott Poughkeepsie,2525 South St,Poughkeepsie,NY,12601,866-816-7584,41.660699,-73.932808,94855,,
New York State Department of Transportation - Taste NY Market,4640 Taconic State Pkwy N,Lagrangeville,NY,12540,845-849-0247,41.656857,-73.789422,94856,Free,Free
Courtyard Marriott,631 Midland Ave,Rye,NY,10580,866-816-7584,40.989535,-73.672445,94858,,
Homewood Suites,3368 S Broadway,Saratoga Springs,NY,12866,866-816-7584,43.05419501266957,-73.78681016931154,94859,,
Spectrum,100 Cable Way,Staten Island,NY,10303,,40.630898,-74.168358,94861,,
Stony Brook University,100 Nicolls Rd,Stony Brook,NY,11794,866-816-7584,40.913685,-73.116048,94862,,
Residence Inn,6420 Yorktown Cir,Syracuse,NY,13057,866-816-7584,43.09077,-76.088086,94863,,
Westchester County Department of Health,134 Main St,White Plains,NY,10601,866-816-7584,41.031941,-73.769376,94865,,
Office Building,50 Haarlem Ave,White Plains,NY,10603,,41.051099,-73.771738,94867,,
Windsor Town Court Room,124 Main St,Windsor,NY,13865,866-816-7584,42.077966,-75.639472,94868,,
Art Delta New York,25-20 Brooklyn Queens Expy,Woodside,NY,11377,866-816-7584,40.763053,-73.902931,94869,,
City of Yonkers,40 S Broadway,Yonkers,NY,10701,866-816-7584,40.932276,-73.897606,94870,,
Yonkers Parking Authority,8 Buena Vista Ave,Yonkers,NY,10701,866-816-7584,40.93427,-73.902149,94871,,
Central Parking - Tower 31,9 W 31st Street,New York,NY,10001,888-998-2546,40.747098,-73.986641,95069,Level 2: $0.59 per kWh,Cost
iPark - Paradise Garage,62-60 99th Street,Rego Park,NY,11374,888-998-2546,40.733347,-73.858012,95270,Level 2: $0.59 per kWh,Cost
Tribeca Park,400 Chambers St,New York,NY,10282,888-998-2546,40.717717,-74.015049,96646,Level 2: $0.59 per kWh,Cost
Tony Mangino Mitsubishi,1658 Route 9,Clifton Park,NY,12065,518-373-4100,42.858085,-73.762909,98431,Free,Free
Environmental Protection Agency,290 Broadway,New York,NY,10007,,40.714723,-74.005143,98674,,
United States Marine Corps,605 Stewart Ave,Garden City,NY,11530,,40.729637,-73.615008,98692,,
James Mitsubishi - Hamburg,5160 Camp Rd,Hamburg,NY,14075,315-356-4444,42.746772,-78.852481,98836,Free,Free
Village of Waterville - West Main Street,115 W Main St,Waterville,NY,13480,315-841-4221,42.930765,-75.38053,99360,Free,Free
Nissan of Staten Island,1976 Hylan Blvd,Staten Island,NY,10306,718-447-3800,40.581432,-74.097694,99500,Free,Free
New York State Department of Environmental Conservation - Stony Brook,50 Circle Rd,Stony Brook,NY,11790,,40.910066,-73.124122,99538,,
Town of Veteran,4049 Watkins Rd,Millport,NY,14864,607-739-1476,42.250834,-76.838332,99950,Free,Free
Colonie Center - Tesla Supercharger,131 Colonie Center,Albany,NY,12205,877-798-3752,42.710356,-73.819109,102325,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,Cost
The Spot Restaurant - Tesla Supercharger,1062 Front Street,Binghamton,NY,13905,877-798-3752,42.145542,-75.902081,102326,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,Cost
North 12 Parking (at the William Vale) - Tesla Supercharger,113 N. 12th Street,Brooklyn,NY,11249,877-798-3752,40.721853,-73.956658,102327,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,Cost
Shops at Main / Transit - Tesla Supercharger,4455  Transit Road,Buffalo,NY,14221,877-798-3752,42.968675,-78.69568,102328,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,Cost
Stewart’s Shop - Tesla Supercharger,2300 Salt Point Turnpike,Clinton Corners,NY,12514,877-798-3752,41.825379,-73.770409,102329,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,Cost
Crossgates Mall - Tesla Supercharger,1 Crossgates Mall Road,Guilderland,NY,12203,877-798-3752,42.68869,-73.853254,102330,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,Cost
QuickChek - Tesla Supercharger,640 Washington Ave.,Kingston,NY,12401,877-798-3752,41.941893,-74.027428,102331,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,Cost
Holiday Inn - Tesla Supercharger,441 Electronics Parkway,Liverpool,NY,13088,877-798-3752,43.102424,-76.187446,102332,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,Cost
New Roc Garage - Tesla Supercharger,33 LeCount Place and Huguenot Street,New Rochelle,NY,10801,877-798-3752,40.912547,-73.780488,102333,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,Cost
Mott Street Parking - Tesla Supercharger,106 Mott Street,New York,NY,10013,877-798-3752,40.717522,-73.997302,102334,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,Cost
W 75th Parking Garage - Tesla Supercharger,201 W 75th Street,New York,NY,10023,877-798-3752,40.780976,-73.980414,102335,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,Cost
E 47th Street - Tesla Supercharger,212 East 47th Street,New York,NY,10017,877-798-3752,40.753356,-73.971685,102336,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,Cost
